NAME                 STATUS   AGE
a-yusupov            Active   19h
default              Active   12d
exam-adxamov         Active   15h
exam-azizbek         Active   15h
exam-davron          Active   15h
exam-kodirovr        Active   16h
exam-maxmudov        Active   15h
exam-xotam           Active   15h
exam-xurshid         Active   15h
exam-zvakhobov       Active   15h
f-nabiyev            Active   21h
ingress-nginx        Active   12d
kube-node-lease      Active   12d
kube-public          Active   12d
kube-system          Active   12d
practice-s-madatov   Active   14h
practice-xotam       Active   15h
