NAMESPACE        NAME     READY   STATUS    RESTARTS   AGE
exam-davron      nginx1   1/1     Running   0          15h
exam-davron      nginx2   1/1     Running   0          15h
exam-kodirovr    nginx1   1/1     Running   0          15h
exam-kodirovr    nginx2   1/1     Running   0          15h
exam-maxmudov    nginx1   1/1     Running   0          15h
exam-maxmudov    nginx2   1/1     Running   0          15h
exam-xotam       nginx1   1/1     Running   0          15h
exam-xotam       nginx2   1/1     Running   0          15h
exam-zvakhobov   nginx1   1/1     Running   0          15h
exam-zvakhobov   nginx2   1/1     Running   0          15h
f-nabiyev        nginx1   1/1     Running   0          94s
f-nabiyev        nginx2   1/1     Running   0          90s
